scenario,pool,replicate,source,variant,candidate,graph,reliable,best_order,pair,slope,correlation
growth,0,0,true,poisson_separate,g07_o1,7,False,True,"0,0",-0.010320824649934989,-0.0727734573578382
growth,0,0,true,poisson_separate,g07_o1,7,False,True,"0,1",-0.4109804100903356,-0.6045326503314331
growth,0,0,true,poisson_separate,g07_o1,7,False,True,"0,2",0.17851005201185974,0.5416716159964714
growth,0,0,true,poisson_separate,g07_o1,7,False,True,"1,1",-0.042997461462628984,-0.2571865031731202
growth,0,0,true,poisson_separate,g07_o1,7,False,True,"1,2",0.15190042362762435,0.5633464375209833
growth,0,0,true,poisson_separate,g07_o1,7,False,True,"2,2",-0.062120008260452955,-0.30808179275891207
growth,0,0,true,poisson_separate,g17_o1,17,False,True,"0,0",-0.03211770120055976,-0.21359270335535555
growth,0,0,true,poisson_separate,g17_o1,17,False,True,"0,1",-0.011284737600837976,-0.09762061985058916
growth,0,0,true,poisson_separate,g17_o1,17,False,True,"0,2",0.04673632141455982,0.48739817555578446
growth,0,0,true,poisson_separate,g17_o1,17,False,True,"1,1",-0.047318567054532204,-0.24894982310198008
growth,0,0,true,poisson_separate,g17_o1,17,False,True,"1,2",-0.04776213321579568,-0.41831491612507693
growth,0,0,true,poisson_separate,g17_o1,17,False,True,"2,2",-0.0341481764073596,-0.18721996509485223
growth,0,0,true,poisson_separate,g06_o1,6,False,True,"0,0",0.00405312712683734,0.02881689720548433
growth,0,0,true,poisson_separate,g06_o1,6,False,True,"0,1",-0.4126853503727779,-0.603899720821341
growth,0,0,true,poisson_separate,g06_o1,6,False,True,"0,2",0.1789174096631827,0.5413618480798293
growth,0,0,true,poisson_separate,g06_o1,6,False,True,"1,1",-0.02477411944112071,-0.15579222289901426
growth,0,0,true,poisson_separate,g06_o1,6,False,True,"1,2",0.15078269656348028,0.562029032947575
growth,0,0,true,poisson_separate,g06_o1,6,False,True,"2,2",-0.018364436340906645,-0.0988143975421193
growth,0,0,true,poisson_separate,g22_o1,22,False,False,"0,0",-0.02666802406332485,-0.18924450115473324
growth,0,0,true,poisson_separate,g22_o1,22,False,False,"0,1",0.0024983350830357835,0.024713830942740198
growth,0,0,true,poisson_separate,g22_o1,22,False,False,"0,2",0.005389699380772715,0.35211594217358955
