scenario,pool,replicate,source,variant,search,rank,graph,newick,best_order,reliable,logz,elbo
growth,0,0,hapibd,poisson_separate,including_loop,16,13,"(((b.1,c),a),b.2)",g13_o1,False,-575.3006543658953,-635.6327856333834
growth,0,0,hapibd,poisson_separate,including_loop,17,21,"((a,c.1),(b,c.2))",g21_o2,False,-583.9485699905629,-636.28850276259
growth,0,0,hapibd,poisson_separate,including_loop,18,18,"(((a,c.1),c.2),b)",g18_o1,False,-588.1791638925846,-637.9587224048406
growth,0,0,hapibd,poisson_separate,including_loop,19,20,"(((b,c.1),c.2),a)",g20_o1,False,-584.3480041893546,-836.5454198561729
growth,0,0,hapibd,poisson_separate,including_loop,20,8,"(((b,c),a.1),a.2)",g08_o1,False,-585.2315929014069,-845.1810290325748
growth,0,0,hapibd,poisson_separate,including_loop,21,12,"(((a,c),b.1),b.2)",g12_o1,False,-589.9059244004358,-864.0949221812402
growth,0,0,hapibd,poisson_separate,including_loop,22,6,"(((a.1,c),a.2),b)",g06_o1,False,-587.6713406668798,-955.4846780836112
growth,0,1,true,poisson_shared,loop_omitted,1,15,"((a,b.1),(b.2,c))",g15_o1,False,-193.5687972049205,-210.56604373275835
growth,0,1,true,poisson_shared,loop_omitted,2,17,"(((a,c.1),b),c.2)",g17_o1,False,-405.41682455225623,-426.9058734450061
growth,0,1,true,poisson_shared,loop_omitted,3,9,"((a.1,b),(a.2,c))",g09_o2,False,-321.64272118066054,-438.4102339610956
growth,0,1,true,poisson_shared,loop_omitted,4,1,"((a,b),c)",g01_o1,False,-438.96760195844035,-443.8352455891191
growth,0,1,true,poisson_shared,loop_omitted,5,19,"(((b,c.1),a),c.2)",g19_o1,False,-445.24789467780846,-461.62732478909504
growth,0,1,true,poisson_shared,loop_omitted,6,16,"(((a,b),c.1),c.2)",g16_o2,False,-441.59210384013295,-469.69944598352254
growth,0,1,true,poisson_shared,loop_omitted,7,11,"(((a,b.1),c),b.2)",g11_o1,False,-239.19075052333608,-662.1232867642244
growth,0,1,true,poisson_shared,loop_omitted,8,10,"(((a,b.1),b.2),c)",g10_o1,False,-230.53959982021743,-682.4393133865103
growth,0,1,true,poisson_shared,loop_omitted,9,5,"(((a.1,b),c),a.2)",g05_o1,False,-411.7855498966327,-699.9193099725518
growth,0,1,true,poisson_shared,loop_omitted,10,4,"(((a.1,b),a.2),c)",g04_o1,False,-404.6077254188966,-793.3151349398736
growth,0,1,true,poisson_shared,loop_omitted,11,13,"(((b.1,c),a),b.2)",g13_o1,False,-749.5440381481905,-823.4695334651445
growth,0,1,true,poisson_shared,loop_omitted,12,14,"(((b.1,c),b.2),a)",g14_o1,False,-752.0912339380798,-824.8857570664743
growth,0,1,true,poisson_shared,loop_omitted,13,18,"(((a,c.1),c.2),b)",g18_o1,False,-755.0113838575244,-854.9112224249087
growth,0,1,true,poisson_shared,loop_omitted,14,21,"((a,c.1),(b,c.2))",g21_o1,False,-829.7223055672883,-870.0455254968113
