scenario,pool,replicate,source,variant,candidate,graph,reliable,best_order,lp_ibd,lp_snp,chi2_ibd,chi2_snp
growth,0,6,hapibd,poisson_separate,g16_o1,16,False,True,-214.7119250398949,20.482463401825424,146.5382069660531,52.20356452278797
growth,0,6,hapibd,poisson_separate,g02_o1,2,False,True,-521.1151211060649,20.37242383579529,778.7418357983812,52.42364365479774
growth,0,6,hapibd,poisson_separate,g12_o1,12,False,True,-521.1642859005377,19.415088998809555,810.668653086934,54.33831332877948
growth,0,6,hapibd,poisson_separate,g15_o2,15,False,True,-207.94006241331414,45.30207787617658,131.96264976093403,2.5643355739943527
growth,0,6,hapibd,poisson_separate,g21_o2,21,False,True,-524.502526237363,19.177472322213177,879.6727634843232,54.81354668207315
growth,0,6,hapibd,poisson_separate,g09_o1,9,False,True,-210.3933061237375,20.061857193562453,140.2492758726301,53.044776939323015
growth,0,6,hapibd,poisson_separate,g19_o1,19,False,True,-215.1301319889335,17.735251174685768,145.50943477830256,57.69798897699132
growth,0,6,hapibd,poisson_separate,g08_o1,8,False,True,-504.1337667221537,19.176815030203688,727.3339871267416,54.814861266030746
growth,0,6,hapibd,poisson_separate,g18_o1,18,False,True,-504.4845158101676,19.72310777887499,747.936486948894,53.72227576869819
growth,0,6,hapibd,poisson_separate,g16_o2,16,False,False,-215.55444087959262,21.097006373290412,146.46279045978767,50.97447857987346
growth,0,6,hapibd,poisson_separate,g22_o2,22,False,True,-206.91212658543378,45.31816815991554,132.21564439421718,2.5321550065706244
growth,0,6,hapibd,poisson_separate,g12_o2,12,False,False,-526.4528069408611,18.521006394772158,772.8605112743861,56.126478536894325
growth,0,6,hapibd,poisson_separate,g05_o1,5,False,True,-209.55006934047344,20.13747756753901,142.5723501244159,52.8935361913172
growth,0,6,hapibd,poisson_separate,g21_o1,21,False,False,-506.5303185542359,20.999724338910667,740.7706715321929,51.169042648620625
growth,0,6,hapibd,poisson_separate,g09_o2,9,False,False,-209.33515999052628,20.980450628747512,145.01323112992466,51.207590068902086
