scenario,pool,replicate,source,variant,candidate,graph,status,reliable,ess,pareto_k,seconds
growth,0,1,true,poisson_shared,g11_o1,11,ok,False,3.518808219387482,1.70365601781105,34.187950999476016
growth,0,1,true,poisson_shared,g10_o1,10,ok,False,14.26338918924897,1.4156391245279316,37.59535533282906
growth,0,1,true,poisson_shared,g04_o1,4,ok,False,6.397174198949826,1.814167335032504,29.60361770913005
growth,0,1,true,poisson_shared,g20_o1,20,ok,False,2.556427493814817,1.5323366695771832,28.437755624763668
growth,0,1,true,poisson_shared,g08_o2,8,ok,False,4.045936839157272,4.52715720115649,39.76085870806128
growth,0,1,true,poisson_shared,g14_o1,14,ok,False,16.19604657652321,1.4146238509496611,34.48748499993235
growth,0,1,true,poisson_separate,g03_o1,3,ok,False,7.531341167638881,1.6885074035549468,16.842624958604574
growth,0,1,true,poisson_separate,g13_o1,13,ok,False,1.011786101769594,2.7317192772067673,44.273593958467245
growth,0,1,true,poisson_separate,g07_o1,7,ok,False,1.0437102846812505,2.578156834371589,39.23688695766032
growth,0,1,true,poisson_separate,g17_o1,17,ok,False,10.932441276538084,1.9695118182949152,34.43005633354187
growth,0,1,true,poisson_separate,g06_o1,6,ok,False,2.09808787968035,2.2682217823913406,35.999423583969474
growth,0,1,true,poisson_separate,g22_o1,22,ok,False,2.1178528652862543,2.6470429993480478,40.25354216620326
growth,0,1,true,poisson_separate,g16_o1,16,ok,False,7.683964392480764,4.439022643553236,30.1711019994691
growth,0,1,true,poisson_separate,g02_o1,2,ok,False,3.548694093826075,1.6169703888336275,16.956646792590618
growth,0,1,true,poisson_separate,g12_o1,12,ok,False,2.3609679275273407,4.813018400595524,39.791050707921386
growth,0,1,true,poisson_separate,g15_o2,15,ok,False,12.0537586269241,1.8073373261695471,27.92530916724354
growth,0,1,true,poisson_separate,g21_o2,21,ok,False,1.2463480457909983,2.4734541058392447,38.85552233364433
growth,0,1,true,poisson_separate,g09_o1,9,ok,False,5.049019897094353,1.9682661040857237,35.21844495926052
growth,0,1,true,poisson_separate,g19_o1,19,ok,False,1.0022839683280675,1.7857900104253897,38.57659558299929
growth,0,1,true,poisson_separate,g08_o1,8,ok,False,1.1233597642302195,2.2074909697318073,34.56427604239434
growth,0,1,true,poisson_separate,g18_o1,18,ok,False,2.845665652098698,1.979301788656112,38.45163050014526
